63,1306029,2001,美丽心灵,朗·霍华德,"['罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利', '克里斯托弗·普卢默']","['剧情', '传记']",美国,135,9.1,760412
64,1485260,2008,本杰明·巴顿奇事,大卫·芬奇,"['凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝']","['剧情', '爱情', '奇幻']",美国,166,9.0,970697
65,3008247,2008,穿条纹睡衣的男孩,马克·赫尔曼,"['阿萨·巴特菲尔德', '维拉·法米加', '卡拉·霍根', '祖萨·霍尔']","['剧情', '战争']",英国 / 美国,94,9.2,556054
66,1900841,2006,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,"['乌尔里希·穆埃', '马蒂娜·格德克', '塞巴斯蒂安·科赫', '乌尔里希·图库尔']","['剧情', '悬疑']",德国,137,9.2,558077
67,1292220,1995,情书,岩井俊二,"['中山美穗', '丰川悦司', '酒井美纪', '柏原崇']","['剧情', '爱情']",日本,117,8.9,1097636
68,1293350,1998,两杆大烟枪,盖·里奇,"['杰森·弗莱明', '德克斯特·弗莱彻', '尼克·莫兰', '杰森·斯坦森']","['剧情', '喜剧', '犯罪']",英国,107,9.1,588790
69,1292402,2000,西西里的美丽传说,朱塞佩·托纳多雷,"['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', 'Luciano Federico', '玛蒂尔德·皮亚纳']","['剧情', '情色', '战争']",意大利 / 美国,109 ,8.9,964224
70,1294408,1965,音乐之声,罗伯特·怀斯,"['朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克', '理查德·海顿']","['剧情', '爱情', '歌舞', '传记']",美国,174,9.1,593993
71,26580232,2016,看不见的客人,奥里奥尔·保罗,"['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '巴巴拉·莱涅']","['剧情', '悬疑', '惊悚', '犯罪']",西班牙,106,8.8,1240754
72,1652587,2009,阿凡达,詹姆斯·卡梅隆,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗']","['动作', '科幻', '冒险']",美国,162,8.8,1405421
73,1292849,1998,拯救大兵瑞恩,史蒂文·斯皮尔伯格,"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀']","['剧情', '战争']",美国,169,9.1,639084
